Country,Year,GDP (current US$),Gross capital formation (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Unemployment rate (%),Total labor force,CO2 emissions per capita,Renewable energy consumption (% of total final energy consumption),Energy use per capita (kg of oil equivalent)
Brazil,2010,2208837745214.23,21.8013215574365,10.8655847746965,11.9065933373084,8.422,96467543.0,2.27034083899082,46.8,1381.00123628752
Brazil,2011,2616156223977.47,21.8262711161868,11.5825126782808,12.3518924970444,7.578,95987652.0,2.37346407220956,45.2,1386.56123964361
Brazil,2012,2465227803011.57,21.4172253674119,11.8775390694448,13.2367345392086,7.251,96690220.0,2.52810306680631,43.5,1429.55235018298
Brazil,2013,2472819535742.73,21.6937669552157,11.742230645138,14.0437266803948,7.071,97945820.0,2.63609675534352,42.3,1483.68231791026
Brazil,2014,2456043727198.85,20.5484107553739,11.0119428190539,13.6734629940752,6.755,98901551.0,2.72958719215547,41.7,1517.77055485822
Brazil,2015,1802212206904.68,17.4116258666294,12.9001914177405,14.0534345182709,8.538,100587656.0,2.56644717813364,43.7,1477.71135638764
Brazil,2016,1795693482652.52,14.9695469737745,12.4666790443888,12.0670030360511,11.58,101885554.0,2.3739483184063,45.4,1411.50090973164
Brazil,2017,2063514977334.32,14.6255875981079,12.5189678700669,11.8007665046081,12.792,103476109.0,2.41568284305132,45.3,1428.63671291905
Brazil,2018,1916933898038.36,15.0950416289449,14.6349994952986,14.2412038806757,12.329,104554923.0,2.28409517314385,46.9,1400.2173612336
Brazil,2019,1873288205186.45,15.5167907998924,14.1229191903622,14.7673386775793,11.936,106262669.0,2.25651425253649,47.5,1412.60729823853
Brazil,2020,1476107231194.11,16.1158206052173,16.4535520107044,15.8485265356365,13.697,100001874.0,2.1442619310431,50.0,1375.83163242979
Brazil,2021,1670647399034.67,19.521885019122,19.1094303673866,18.5469003894967,13.158,104085430.0,2.41465421184281,46.5,1426.92356611297
India,2010,1675615519484.96,39.7856241847736,22.4009332487945,26.8542732486216,7.652,467561989.0,1.40226678905551,36.2,531.870869241592
India,2011,1823051829894.55,39.590421855219,24.5404113195713,31.0834686939585,7.616,471891929.0,1.46709109594735,35.0,547.48026530693
India,2012,1827637590410.41,38.3474156730403,24.534430661418,31.2592910673332,7.666,476101422.0,1.58192315310593,34.8,570.950039689589
India,2013,1856721507621.58,34.0231978997548,25.430861300519,28.4132706461587,7.711,484539458.0,1.60762730152084,34.9,576.89142121313
India,2014,2039126479154.52,34.2678056268836,22.9679630081172,25.9542227389497,7.674,492791763.0,1.70912130103464,33.9,609.769630211591
India,2015,2103588360044.94,32.1167301358276,19.8131891564045,22.1097247094602,7.631,500763345.0,1.70187477972263,33.4,621.233101872706
India,2016,2294796885663.16,30.172690580036,19.1582349105946,20.9242508026814,7.601,508796784.0,1.71388197178672,33.0,625.339936484507
India,2017,2651474262755.45,30.9821728344733,18.7917648392982,21.9507321152243,7.618,516812065.0,1.78999731844213,32.5,647.961983314095
India,2018,2702929641648.74,32.3432182154485,19.9278285988562,23.6891407335327,7.652,524342818.0,1.8718236887863,32.9,671.520649189685
India,2019,2835606256558.19,30.0961975685688,18.664264897257,21.2411386333872,6.51,531383542.0,1.8300789248723,33.5,665.57468725444
India,2020,2674851578587.27,28.9223840080659,18.6824769296756,19.0756283996012,7.859,532528354.0,1.65329990364908,36.1,624.86144636956
India,2021,3167270623260.47,32.1158221755014,21.3991583305515,24.0239304534931,6.38,550352877.0,1.80206214055006,34.9,675.282775662932
Indonesia,2010,755094157594.524,32.8801214533558,24.2990309366408,22.4022429392329,5.614,118205102.0,1.80144503739144,36.0,700.281813154248
Indonesia,2011,892969104529.572,32.9843332593049,26.3273530888836,23.8526600952268,5.153,120648289.0,2.00412047888782,32.4,712.641500776538
Indonesia,2012,917869913364.917,35.0715936108889,24.5943787881769,24.9885195110858,4.468,123448397.0,1.99554706542114,30.1,704.57653986754
Indonesia,2013,912524136718.018,33.8313567879016,23.9235763793605,24.7137962959288,4.336,124097473.0,1.85645776868745,30.6,678.844277058212
Indonesia,2014,890814755511.014,34.6003439149803,23.6659845969367,24.414190988586,4.049,125645513.0,1.95132793342072,29.3,702.470018829106
Indonesia,2015,860854232717.718,34.0627921803386,21.1601792598059,20.7774609817235,4.514,127301276.0,1.95725313176892,26.6,692.359585231709
Indonesia,2016,931877364034.196,33.8587393039461,19.0889938536664,18.3323479486654,4.301,128501300.0,1.91619146584425,27.8,709.064867794897
Indonesia,2017,1015618744168.08,33.7105947957751,20.1773044351106,19.17819263535,3.783,130940742.0,2.00382979913667,25.2,739.032212284228
Indonesia,2018,1042271532953.49,34.5705858319708,21.0027464972455,22.0715624579547,4.387,134532894.0,2.21327139952212,22.0,813.437822352458
Indonesia,2019,1119099871385.79,33.7801423773992,18.5915277970883,19.0362497386225,3.59,137425585.0,2.338843802504,19.8,850.270709008969
Indonesia,2020,1059054842711.55,32.3434120537483,17.3311682848923,15.6410071153504,4.255,137375390.0,2.16241358646151,21.9,810.003516802792
Indonesia,2021,1186509691070.97,31.4488724858483,21.4165556390653,18.7882026359018,3.827,135672770.0,2.23779360089659,20.2,824.619533270622
Kenya,2010,45405615063.7551,21.2639987992095,20.1243596478793,30.2699277024041,2.796,17284448.0,0.32574439403165,74.0,468.146619756257
Kenya,2011,46869473150.61,21.8858122759467,21.5494770708279,36.8527289037346,2.704,17856484.0,0.327065092450357,74.7,471.117585863612
Kenya,2012,56396704671.5777,22.1933629258823,19.8649477228834,31.7587443003647,2.682,18441629.0,0.29593989997745,76.2,461.026866891178
Kenya,2013,61671440407.8387,22.4049681039862,17.7921805531655,29.6724619595649,2.764,19043674.0,0.318713553051606,74.3,469.620774523591
Kenya,2014,68285796514.2896,24.9507189987733,16.4728044658123,29.6976848964037,2.768,19660028.0,0.356082241945094,71.8,495.609187616767
Kenya,2015,70120446896.8359,22.1033982020293,15.1287339034504,25.1986507884515,2.762,20289697.0,0.37672871731003,69.2,528.550711644325
Kenya,2016,74815144163.8931,19.3484358309332,13.2497448006759,21.6152747725065,2.757,20945264.0,0.399468737717385,68.3,531.502059654673
Kenya,2017,82036510877.2599,20.6634949022773,12.7366599413725,23.2583979340349,3.541,20982904.0,0.40527856488443,68.1,536.715469227383
Kenya,2018,92202979985.2863,19.3759862497025,12.541975333359,21.8727778433835,4.284,20958591.0,0.380695107567142,68.7,544.61857620749
Kenya,2019,100378436207.371,19.3418324204191,11.4279956869332,20.3314661545478,5.014,20875750.0,0.379148987222912,68.1,542.042029531549
Kenya,2020,100657505750.545,19.6515841707054,9.64186888186451,17.5959466433724,5.619,21254171.0,0.367856773384869,69.0,532.999343083954
Kenya,2021,109703658904.994,20.3912447822361,10.7695743362259,20.0547288409003,5.693,22012863.0,0.403760554985022,67.7,538.101489714657
Mexico,2010,1105424238731.09,23.3314894102504,29.0174601154993,30.2559244138859,5.303,48189452.0,4.19738559393691,9.4,1571.31690338956
Mexico,2011,1229013703416.76,24.2517581318792,30.4429662274867,31.7194210489631,5.175,49262430.0,4.2216609449848,9.1,1622.07805751538
Mexico,2012,1255110424817.79,24.3777390617044,31.539450391413,32.7184814985984,4.892,50764169.0,4.33344945678331,9.0,1641.23547473104
Mexico,2013,1327436290282.67,22.6807316074935,30.755800584349,31.9358741892317,4.921,51511392.0,4.17439314596324,9.2,1621.71346326768
Mexico,2014,1364507717614.13,22.2932759800089,31.462992199988,32.6354168351336,4.819,51907743.0,4.0140164992127,9.8,1570.99078636977
Mexico,2015,1213294467716.88,23.7361297440288,34.1627726873238,36.2502019889402,4.311,52800736.0,4.04965029740162,9.2,1527.09144608898
Mexico,2016,1112233497452.7,24.3433923355958,36.8156772514808,38.8746261573743,3.853,53498509.0,4.0599543149425,9.2,1512.67220353692
Mexico,2017,1190721475906.0,23.8923507095274,37.5140886198874,39.438037420838,3.419,54114274.0,4.05637657039332,10.1,1464.26286767209
Mexico,2018,1256300182879.73,23.47749306333,39.0439304419331,41.1687312149645,3.275,55142830.0,3.82148846798022,10.3,1482.97907989785
Mexico,2019,1304106203694.81,22.1485426409257,38.5296507981357,38.9323214713109,3.477,56614536.0,3.85856547199239,10.3,1458.64835451066
Mexico,2020,1121064767261.88,20.2366593515309,39.2353720920404,37.6191836167519,4.44,52956486.0,3.37396129154087,12.3,1349.95182163974
Mexico,2021,1316569466932.59,21.707493930309,40.5691931934194,42.5001044268083,4.019,56864048.0,3.54786659341113,13.0,1398.80870495866
South Africa,2010,417363822801.713,17.5956446037105,25.7834176267221,24.6226695358778,24.683,20017932.0,8.87081322765791,9.4,2499.90836667217
South Africa,2011,458199494830.834,18.8532376550132,27.6981484703752,26.9382019655219,24.639,21097307.0,8.390151524086,9.0,2518.31658249977
South Africa,2012,434400545085.811,18.5845354435045,27.1391491937679,28.4434679995666,24.727,21397775.0,8.56950729034559,8.3,2376.94370623585
South Africa,2013,400886013595.573,19.1687625943111,28.379280320361,30.4957473096901,24.561,21921173.0,8.64586417062513,7.8,2324.03986885231
South Africa,2014,381198869776.106,18.4879638168327,29.0006193033471,30.4989547517121,24.89,22295709.0,8.70671122380103,7.6,2423.15463988218
South Africa,2015,346709790458.563,18.6332066638376,27.7136384124829,29.0130377322327,25.149,23461405.0,8.11041631624629,7.6,2242.74396883532
South Africa,2016,323585509674.481,16.9604522948246,28.1560881698955,27.7051693349827,26.536,23788578.0,8.04226005893759,7.8,2298.05758827714
South Africa,2017,381448814653.456,16.6107340612402,27.3400757812216,26.1958560481525,27.035,24300760.0,8.15147357441279,7.9,2269.79878522092
South Africa,2018,405260723892.517,16.1705829786619,27.4970371508423,26.9885079767917,26.906,24580984.0,8.08182130104548,8.0,2173.18099748866
